Reference,MPN,Footprint,Pin,Function,Expected net,Pad X mm,Pad Y mm,Pad width mm,Pad height mm,Manufacturer source
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,1,VBUS,PORT1_VBUS,0,0,1.6,1.6,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,2,D-,PORT1_D-,2,0,1.6,1.6,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,3,D+,PORT1_D+,4,0,1.6,1.6,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,4,GND,GND2,6,0,1.6,1.6,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,SH,Shield,GND2,-0.73,-2.72,2.15,2.15,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,SH,Shield,GND2,-0.73,2.72,2.15,2.15,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,SH,Shield,GND2,6.27,-2.72,2.15,2.15,https://www.we-online.com/components/products/datasheet/614004134726.pdf
J3,614004134726,hub-lib:USB_A_Wuerth_614004134726_Horizontal,SH,Shield,GND2,6.27,2.72,2.15,2.15,https://www.we-online.com/components/products/datasheet/614004134726.pdf
U12,TPS2553DBVR,hub-lib:SOT-23-6,1,IN,PORT_SUPPLY,-1.1375,-0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps2553.pdf
U12,TPS2553DBVR,hub-lib:SOT-23-6,2,GND,GND2,-1.1375,0,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps2553.pdf
U12,TPS2553DBVR,hub-lib:SOT-23-6,3,EN,PRTPWR1,-1.1375,0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps2553.pdf
U12,TPS2553DBVR,hub-lib:SOT-23-6,4,~{FAULT},OCS1_N,1.1375,0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps2553.pdf
U12,TPS2553DBVR,hub-lib:SOT-23-6,5,ILIM,PORT1_ILIM,1.1375,0,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps2553.pdf
U12,TPS2553DBVR,hub-lib:SOT-23-6,6,OUT,PORT1_VBUS,1.1375,-0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps2553.pdf
R38,ERJ2RKF4642X,hub-lib:R_0402_1005Metric,1,,PORT1_ILIM,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R38,ERJ2RKF4642X,hub-lib:R_0402_1005Metric,2,,GND2,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
